"Baylor University  ,Waco, TX",ECE,27270
"University of Missouri  ,Columbia, MO",ECE,17493
"Northeastern University  ,Boston, MA",ECE,25596
"Oregon State University  ,Corvallis, OR",ECE,22932
"Tufts University  ,Medford, MA",ECE,30072
"Colorado State University  ,Fort Collins, CO",ECE,24896
"University of Texas-- Dallas (Jonsson)  ,Richardson, TX",ECE,22282
"Washington State University  ,Pullman, WA",ECE,25216
"Stevens Institute of Technology (Schaefer)  ,Hoboken, NJ",ECE,32200
"University of Cincinnati  ,Cincinnati, OH",ECE,24532
"University of Kentucky  ,Lexington, KY",ECE,26154
"University of North Carolina-- Charlotte (Lee)  ,Charlotte, NC",ECE,16799
"University of Alabama  ,Tuscaloosa, AL",ECE,25950
"Santa Clara University  ,Santa Clara, CA",ECE,16056
"North Dakota State University  ,Fargo, ND",ECE,15894
"University of Wyoming  ,Laramie, WY",ECE,12474
"Auburn University (Ginn)  ,Auburn, AL",ECE,26406
"Drexel University  ,Philadelphia, PA",ECE,32079
"Illinois Institute  (Armour)  ,Chicago, IL",ECE,23634
"University of Illinois-- Chicago  ,Chicago, IL",ECE,27460
"University of Iowa  ,Iowa City, IA",ECE,25574
"University of Tennessee-- Knoxville  ,Knoxville, TN",ECE,30354
"University of Kansas  ,Lawrence, KS",ECE,15840
"University of Nebraska-- Lincoln  ,Lincoln, NE",ECE,19278
"Brigham Young University (Fulton)  ,Provo, UT",ECE,13000
"Oklahoma State University  ,Stillwater, OK",ECE,14148
"University of South Carolina  ,Columbia, SC",ECE,27940
"Clarkson University  ,Potsdam, NY",ECE,26226
"Indiana University- Purdue University-- Indianapolis  ,Indianapolis, IN",ECE,19242
"University of Louisville (Speed)  ,Louisville, KY",ECE,24274
"University of New Hampshire  ,Durham, NH",ECE,26460
"West Virginia University  ,Morgantown, WV",ECE,23832
"Marquette University  ,Milwaukee, WI",ECE,18900
"Southern Illinois University-- Carbondale  ,Carbondale, IL",ECE,18792
"Colorado School of Mines  ,Golden, CO",ECE,32700
"University of Central Florida  ,Orlando, FL",ECE,21492
"Florida A&M University -  Florida State University  ,Tallahassee, FL",ECE,18090
"Southern Methodist University (Lyle)  ,Dallas, TX",ECE,20970
"Binghamton University-- SUNY (Watson)  ,Binghamton, NY",ECE,22210
"Kansas State University  ,Manhattan, KS",ECE,15462
"Louisiana State University-- Baton Rouge  ,Baton Rouge, LA",ECE,25643
Santa Barbar,ECE,11880
"University of Oklahoma  ,Norman, OK",ECE,13320
"University of Wisconsin-- Milwaukee  ,Milwaukee, WI",ECE,24761
"University of Miami  ,Coral Gables, FL",ECE,33300
"Virginia Commonwealth University  ,Richmond, VA",ECE,21806
"CUNY-- City College (Grove)  ,New York, NY",ECE,15660
"Ohio University (Russ)  ,Athens, OH",ECE,16180
"Boise State University  ,Boise, ID",ECE,20108
"University of Alaska-- Fairbanks  ,Fairbanks, AK",ECE,15552
"University of Denver  ,Denver, CO",ECE,28776
"University of Nevada-- Reno  ,Reno, NV",ECE,23202
"University of Toledo  ,Toledo, OH",ECE,17627
"George Mason University (Volgenau)  ,Fairfax, VA",ECE,28448
"Temple University  ,Philadelphia, PA",ECE,23094
"University of Arkansas-- Fayetteville  ,Fayetteville, AR",ECE,17784
"University of Massachusetts-- Lowell (Francis)  ,Lowell, MA",ECE,23303
"Tennessee Technological University  ,Cookeville, TN",ECE,23000
"University of Memphis (Herff)  ,Memphis, TN",ECE,18981
"University of North Texas  ,Denton, TX",ECE,11124
"Missouri University of Science & Technology  ,Rolla, MO",ECE,25766
"University of New Mexico  ,Albuquerque, NM",ECE,15444
"University of South Florida  ,Tampa, FL",ECE,21126
"New Jersey Institute of Technology  ,Newark, NJ",ECE,27340
"New Mexico State University  ,Las Cruces, NM",ECE,14254
"University of Alabama-- Huntsville  ,Huntsville, AL",ECE,21402
"Florida International University  ,Miami, FL",ECE,24048
"University of Texas-- San Antonio  ,San Antonio, TX",ECE,19026
"Cleveland State University  ,Cleveland, OH",ECE,17982
"Florida Atlantic University  ,Boca Raton, FL",ECE,18450
"Louisiana Tech University  ,Ruston, LA",ECE,16113
"Montana State University  ,Bozeman, MT",ECE,15500
"University of Akron  ,Akron, OH",ECE,13462
"University of Louisiana-- Lafayette  ,Lafayette, LA",ECE,19238
"University of Texas-- Arlington  ,Arlington, TX",ECE,14753
"University of Maine  ,Orono, ME",ECE,23940
"University of Mississippi  ,University, MS",ECE,20574
"Wright State University  ,Dayton, OH",ECE,22224
"University of Alabama-- Birmingham  ,Birmingham, AL",ECE,16628
"University of Dayton  ,Dayton, OH",ECE,17118
"Lamar University  ,Beaumont, TX",ECE,10603
"University of New Orleans  ,New Orleans, LA",ECE,20673
"Wayne State University  ,Detroit, MI",ECE,24678
"University of Nevada-- Las Vegas (Hughes)  ,Las Vegas, NV",ECE,22088
"South Dakota School of Mines and Technology  ,Rapid City, SD",ECE,9000
"Wichita State University  ,Wichita, KS",ECE,12096
"University of Colorado-- Colorado Springs  ,Colorado Springs, CO",ECE,20644
"University of Massachusetts-- Dartmouth  ,North Dartmouth, MA",ECE,8099
"University of Rhode Island  ,Kingston, RI",ECE,24206
"Morgan State University (Mitchell)  ,Baltimore, MD",ECE,10440
"Texas A&M University-- Kingsville (Dotterweich)  ,Kingsville, TX",ECE,10249
"Western Michigan University  ,Kalamazoo, MI",ECE,20214
"Prairie View A&M University  ,Prairie View, TX",ECE,12240
"Florida Institute of Technology  ,Melbourne, FL",ECE,21690
"Johns Hopkins University (Whiting) ,Baltimore, MD",Biomedical_Bio Engg,48710
"Georgia Institute of Technology ,Atlanta, GA",Biomedical_Bio Engg,27872
"Massachusetts Institute of Technology ,Cambridge, MA",Biomedical_Bio Engg,46400
"University of California-- San Diego (Jacobs) ,La Jolla, CA",Biomedical_Bio Engg,26322
"Stanford University ,Stanford, CA",Biomedical_Bio Engg,48720
"Duke University (Pratt) ,Durham, NC",Biomedical_Bio Engg,50880
"University of California-- Berkeley ,Berkeley, CA",Biomedical_Bio Engg,26322
"University of Pennsylvania ,Philadelphia, PA",Biomedical_Bio Engg,31068
"Boston University ,Boston, MA",Biomedical_Bio Engg,47422
"Northwestern University (McCormick) ,Evanston, IL",Biomedical_Bio Engg,48624
"Rice University (Brown) ,Houston, TX",Biomedical_Bio Engg,41560
"University of Michigan-- Ann Arbor ,Ann Arbor, MI",Biomedical_Bio Engg,44216
"University of Washington ,Seattle, WA",Biomedical_Bio Engg,29274
"Columbia University (Fu Foundation) ,New York, NY",Biomedical_Bio Engg,42768
"Washington University in St. Louis ,St. Louis, MO",Biomedical_Bio Engg,47300
"Cornell University ,Ithaca, NY",Biomedical_Bio Engg,29500
"Case Western Reserve University ,Cleveland, OH",Biomedical_Bio Engg,41137
"University of Pittsburgh (Swanson) ,Pittsburgh, PA",Biomedical_Bio Engg,40120
"California Institute of Technology ,Pasadena, CA",Biomedical_Bio Engg,43710
"University of California-- Davis ,Davis, CA",Biomedical_Bio Engg,28266
"University of Texas-- Austin (Cockrell) ,Austin, TX",Biomedical_Bio Engg,17506
"Carnegie Mellon University ,Pittsburgh, PA",Biomedical_Bio Engg,42000
"Harvard University ,Cambridge, MA",Biomedical_Bio Engg,41832
"Purdue University-- West Lafayette ,West Lafayette, IN",Biomedical_Bio Engg,29132
"University of Illinois-- Urbana- Champaign ,Urbana, IL",Biomedical_Bio Engg,31626
"University of Minnesota-- Twin Cities ,Minneapolis, MN",Biomedical_Bio Engg,24508
"University of Wisconsin-- Madison ,Madison, WI",Biomedical_Bio Engg,25197
"Vanderbilt University ,Nashville, TN",Biomedical_Bio Engg,32724
"Yale University ,New Haven, CT",Biomedical_Bio Engg,38700
"University of Utah ,Salt Lake City, UT",Biomedical_Bio Engg,21628
"University of Virginia ,Charlottesville, VA",Biomedical_Bio Engg,24778
"University of California-- Irvine (Samueli) ,Irvine, CA",Biomedical_Bio Engg,29806
"University of Florida ,Gainesville, FL",Biomedical_Bio Engg,30130
"University of Southern California (Viterbi) ,Los Angeles, CA",Biomedical_Bio Engg,28384
"University of Maryland-- College Park (Clark) ,College Park, MD",Biomedical_Bio Engg,28782
"Virginia Tech -  Wake Forest University ,Pennsylvania State University-- University Park",Biomedical_Bio Engg,
"North Carolina State University -  University of North Carolina-- Chapel Hill ,",Biomedical_Bio Engg,
"Pennsylvania State University-- University Park ,University Park, PA",Biomedical_Bio Engg,34384
"Rensselaer Polytechnic Institute ,Troy, NY",Biomedical_Bio Engg,48100
"Texas A&M University-- College Station (Look) ,College Station, TX",Biomedical_Bio Engg,11484
"University of California-- Los Angeles (Samueli) ,Los Angeles, CA",Biomedical_Bio Engg,27732
"Arizona State University (Fulton) ,Tempe, AZ",Biomedical_Bio Engg,27086
"Ohio State University ,Columbus, OH",Biomedical_Bio Engg,31400
"University of Rochester ,Rochester, NY",Biomedical_Bio Engg,26676
"Clemson University ,Clemson, SC",Biomedical_Bio Engg,20550
"Dartmouth College (Thayer) ,Hanover, NH",Biomedical_Bio Engg,48120
"Drexel University ,Philadelphia, PA",Biomedical_Bio Engg,32079
"Rutgers, The State University of New Jersey-- New Brunswick ,Piscataway, NJ",Biomedical_Bio Engg,27648
"Brown University ,Providence, RI",Biomedical_Bio Engg,48272
"Northeastern University ,Boston, MA",Biomedical_Bio Engg,25596
"Tufts University ,Medford, MA",Biomedical_Bio Engg,30072
"Tulane University ,New Orleans, LA",Biomedical_Bio Engg,47658
"University of Connecticut ,Storrs, CT",Biomedical_Bio Engg,33300
"Illinois Institute of Technology (Armour) ,Chicago, IL",Biomedical_Bio Engg,23634
"University of Arizona ,Tucson, AZ",Biomedical_Bio Engg,29362
"University of Delaware ,Newark, DE",Biomedical_Bio Engg,30132
"University of Illinois-- Chicago ,Chicago, IL",Biomedical_Bio Engg,27460
"CUNY-- City College (Grove) ,New York, NY",Biomedical_Bio Engg,15660
"Indiana University- Purdue University-- Indianapolis ,Indianapolis, IN",Biomedical_Bio Engg,19242
"Stony Brook University-- SUNY ,Stony Brook, NY",Biomedical_Bio Engg,22210
"University of Iowa ,Iowa City, IA",Biomedical_Bio Engg,25574
"University of Miami ,Coral Gables, FL",Biomedical_Bio Engg,33300
"Marquette University ,Milwaukee, WI",Biomedical_Bio Engg,18900
"Michigan Technological University ,Houghton, MI",Biomedical_Bio Engg,15507
"University at Buffalo-- SUNY ,Buffalo, NY",Biomedical_Bio Engg,22210
"University of Alabama-- Birmingham ,Birmingham, AL",Biomedical_Bio Engg,16628
"University of California-- Riverside (Bourns) ,Riverside, CA",Biomedical_Bio Engg,26322
"University of Colorado-- Denver ,Denver, CO",Biomedical_Bio Engg,
"University of Notre Dame ,Notre Dame, IN",Biomedical_Bio Engg,47730
"Colorado State University ,Fort Collins, CO",Biomedical_Bio Engg,24896
"New Jersey Institute of Technology ,Newark, NJ",Biomedical_Bio Engg,27340
